2018,小说改,弦音 -风舞高中弓道部-,153.2万追番
2018,小说改,剧场版 中二病也要谈恋爱！ -Take On Me-,148.1万追番
2018,小说改,Free!-Dive to the Future-,124.2万追番
2018,小说改,百炼霸王与圣约女武神,117.6万追番
2018,小说改,昴宿七星,88.7万追番
2018,小说改,皇帝圣印战记,76万追番
2018,小说改,异世界居酒屋～古都阿伊特力亚的居酒屋阿信～,61.2万追番
2018,小说改,全金属狂潮 Invisible Victory,55.7万追番
2018,小说改,付丧神出租中,48.9万追番
2018,小说改,OVERLORD Ⅲ SP,33.5万追番
2018,小说改,紫罗兰永恒花园,907.1万追番
2018,小说改,青春猪头少年不会梦到兔女郎学姐,830.7万追番
2018,小说改,关于我转生变成史莱姆这档事,777.2万追番
2018,小说改,OVERLORD Ⅲ,576.5万追番
2018,小说改,OVERLORD Ⅱ,563.8万追番
2018,小说改,刀剑神域 Alicization,468.1万追番
2018,小说改,龙王的工作！,403.3万追番
2018,小说改,魔法禁书目录 第三季,323.9万追番
2018,小说改,强风吹拂,279.8万追番
2018,小说改,异界少女召唤术,178.4万追番
2018,小说改,弦音 -风舞高中弓道部-,153.2万追番
2018,小说改,剧场版 中二病也要谈恋爱！ -Take On Me-,148.1万追番
2018,小说改,Free!-Dive to the Future-,124.2万追番
2018,小说改,百炼霸王与圣约女武神,117.6万追番
2018,小说改,昴宿七星,88.7万追番
2018,小说改,皇帝圣印战记,76万追番
2018,小说改,异世界居酒屋～古都阿伊特力亚的居酒屋阿信～,61.2万追番
2018,小说改,全金属狂潮 Invisible Victory,55.7万追番
2018,小说改,付丧神出租中,48.9万追番
2018,小说改,OVERLORD Ⅲ SP,33.5万追番
2018,游戏改,Angels of Death,550.5万追番
2018,游戏改,Fate/EXTRA Last Encore,322.8万追番
2018,游戏改,赛马娘,213.1万追番
2018,游戏改,ISLAND,181.2万追番
2018,游戏改,女神异闻录5 动画版,174.2万追番
2018,游戏改,Caligula 卡里古拉,91.8万追番
2018,游戏改,IDOLiSH7-偶像星愿-,65.9万追番
2018,游戏改,NEKOPARA EXTRA 小猫篇（猫娘乐园）,59万追番
2018,游戏改,冷然之天秤,52.8万追番
2018,游戏改,叛逆性百万亚瑟王,51.8万追番
2018,游戏改,逆转裁判 第二季,37.8万追番
2018,游戏改,LORD of VERMILION 红莲之王,35.5万追番
2018,游戏改,千枪士,22万追番
2018,游戏改,BanG Dream! 少女乐团派对☆PICO,22万追番
2018,游戏改,最终休止符～无止境的螺旋物语～,21.3万追番
2018,游戏改,梦王国与沉睡的100王子,20万追番
2018,游戏改,宝可梦 我们的故事,8.6万追番
2018,游戏改,未来卡 神搭档对战,1.9万追番
2018,特摄,罗布奥特曼,67.3万追番
2018,特摄,罗布奥特曼（中配）,60.7万追番
2018,特摄,假面骑士时王,51.4万追番
2018,特摄,假面骑士时王（中配）,4.7万追番
2018,布袋戏,Thunderbolt Fantasy 东离剑游纪2,1.8万追番
2018,热血,JOJO的奇妙冒险 黄金之风,524.5万追番
2018,热血,刀剑神域 Alicization,468.1万追番
2018,热血,魔法禁书目录 第三季,323.9万追番
2018,热血,强风吹拂,279.8万追番
2018,热血,戒律的复活,227.2万追番
2018,热血,Free!-Dive to the Future-,124.2万追番
2018,热血,Fate/kaleid liner 魔法少女☆伊莉雅：雪下的誓言,113.1万追番
2018,热血,罗布奥特曼,67.3万追番
2018,热血,罗布奥特曼（中配）,60.7万追番
2018,热血,魔偶马戏团,57万追番
2018,热血,假面骑士时王,51.4万追番
2018,热血,高达创形者,36.5万追番
2018,热血,火之丸相扑,20.8万追番
2018,热血,飙速宅男 GLORY LINE,13.6万追番
2018,热血,假面骑士时王（中配）,4.7万追番
2018,热血,奥特怪兽拟人化计划 怪兽娘 第二季,2.6万追番
2018,穿越,关于我转生变成史莱姆这档事,777.2万追番
2018,穿越,OVERLORD Ⅲ,576.5万追番
2018,穿越,OVERLORD Ⅱ,563.8万追番
2018,穿越,刀剑神域 Alicization,468.1万追番
2018,穿越,ISLAND,181.2万追番
2018,穿越,异界少女召唤术,178.4万追番
2018,穿越,百炼霸王与圣约女武神,117.6万追番
2018,穿越,Fate/kaleid liner 魔法少女☆伊莉雅：雪下的誓言,113.1万追番
2018,穿越,OVERLORD Ⅲ SP,33.5万追番
2018,穿越,Butlers～千年百年物语～,31.9万追番
2018,穿越,RErideD-穿越时空的德理达,28.1万追番
2018,奇幻,工作细胞,832.2万追番
2018,奇幻,青春猪头少年不会梦到兔女郎学姐,830.7万追番
2018,奇幻,关于我转生变成史莱姆这档事,777.2万追番
2018,奇幻,OVERLORD Ⅲ,576.5万追番
2018,奇幻,OVERLORD Ⅱ,563.8万追番
2018,奇幻,JOJO的奇妙冒险 黄金之风,524.5万追番
2018,奇幻,刀剑神域 Alicization,468.1万追番
2018,奇幻,魔法禁书目录 第三季,323.9万追番
2018,奇幻,Fate/EXTRA Last Encore,322.8万追番
2018,奇幻,超能力女儿,307.7万追番
2018,奇幻,齐木楠雄的灾难 第二季,264.7万追番
2018,奇幻,戒律的复活,227.2万追番
2018,奇幻,邪神与厨二病少女,219.2万追番
2018,奇幻,妖精森林的小不点,191.1万追番
2018,奇幻,邻家索菲,182.3万追番
2018,奇幻,异界少女召唤术,178.4万追番
2018,奇幻,女神异闻录5 动画版,174.2万追番
2018,奇幻,只要贝尔哲布布大小姐喜欢就好,141.5万追番
2018,奇幻,天狼 Sirius the Jaeger,121.2万追番
2018,奇幻,百炼霸王与圣约女武神,117.6万追番
2018,奇幻,工作细胞,832.2万追番
2018,奇幻,青春猪头少年不会梦到兔女郎学姐,830.7万追番
2018,奇幻,关于我转生变成史莱姆这档事,777.2万追番
2018,奇幻,OVERLORD Ⅲ,576.5万追番
2018,奇幻,OVERLORD Ⅱ,563.8万追番
2018,奇幻,JOJO的奇妙冒险 黄金之风,524.5万追番
2018,奇幻,刀剑神域 Alicization,468.1万追番
2018,奇幻,魔法禁书目录 第三季,323.9万追番
2018,奇幻,Fate/EXTRA Last Encore,322.8万追番
2018,奇幻,超能力女儿,307.7万追番
2018,奇幻,齐木楠雄的灾难 第二季,264.7万追番
2018,奇幻,戒律的复活,227.2万追番
2018,奇幻,邪神与厨二病少女,219.2万追番
2018,奇幻,妖精森林的小不点,191.1万追番
2018,奇幻,邻家索菲,182.3万追番
2018,奇幻,异界少女召唤术,178.4万追番
2018,奇幻,女神异闻录5 动画版,174.2万追番
2018,奇幻,只要贝尔哲布布大小姐喜欢就好,141.5万追番
2018,奇幻,天狼 Sirius the Jaeger,121.2万追番
2018,奇幻,百炼霸王与圣约女武神,117.6万追番
2018,奇幻,工作细胞,832.2万追番
2018,奇幻,青春猪头少年不会梦到兔女郎学姐,830.7万追番
2018,奇幻,关于我转生变成史莱姆这档事,777.2万追番
2018,奇幻,OVERLORD Ⅲ,576.5万追番
2018,奇幻,OVERLORD Ⅱ,563.8万追番
2018,奇幻,JOJO的奇妙冒险 黄金之风,524.5万追番
2018,奇幻,刀剑神域 Alicization,468.1万追番
2018,奇幻,魔法禁书目录 第三季,323.9万追番
2018,奇幻,Fate/EXTRA Last Encore,322.8万追番
2018,奇幻,超能力女儿,307.7万追番
2018,奇幻,齐木楠雄的灾难 第二季,264.7万追番
2018,奇幻,戒律的复活,227.2万追番
2018,奇幻,邪神与厨二病少女,219.2万追番
2018,奇幻,妖精森林的小不点,191.1万追番
2018,奇幻,邻家索菲,182.3万追番
2018,奇幻,异界少女召唤术,178.4万追番
2018,奇幻,女神异闻录5 动画版,174.2万追番
2018,奇幻,只要贝尔哲布布大小姐喜欢就好,141.5万追番
2018,奇幻,天狼 Sirius the Jaeger,121.2万追番
2018,奇幻,百炼霸王与圣约女武神,117.6万追番
2019,原创,CAROLE & TUESDAY,243.1万追番
2019,原创,小马宝莉 友谊的魔力 第九季,96.4万追番
2019,原创,revisions,78.6万追番
2019,原创,ENDRO~!,69.3万追番
2019,原创,小马宝莉 友谊的魔力 第九季 中文配音,59.6万追番
2019,原创,KEMURIKUSA,57.9万追番
2019,原创,歌舞伎町夏洛克,57.1万追番
2019,原创,星合之空,50万追番
2019,原创,假面骑士零一,46.9万追番
2019,原创,假面骑士 令和第一世代,46.4万追番
2019,原创,RobiHachi,45.1万追番
2019,原创,高达创形者 再起,40.6万追番
2019,原创,笑容的代价,40.4万追番
2019,原创,BanG Dream! 第二季,31.6万追番
2019,原创,歌塑世界,19.3万追番
2019,原创,B-PROJECT～绝顶＊Emotion～,18.6万追番
2019,原创,高校星歌剧 第三季,11.1万追番
2019,原创,BT21 UNIVERSE动画,10.7万追番
2019,原创,小猪佩奇 第七季,9.6万追番
2019,原创,小猪佩奇 第六季,8.9万追番
2019,原创,CAROLE & TUESDAY,243.1万追番
2019,原创,小马宝莉 友谊的魔力 第九季,96.4万追番
2019,原创,revisions,78.6万追番
2019,原创,ENDRO~!,69.3万追番
2019,原创,小马宝莉 友谊的魔力 第九季 中文配音,59.6万追番
2019,原创,KEMURIKUSA,57.9万追番
2019,原创,歌舞伎町夏洛克,57.1万追番
2019,原创,星合之空,50万追番
2019,原创,假面骑士零一,46.9万追番
2019,原创,假面骑士 令和第一世代,46.4万追番
2019,原创,RobiHachi,45.1万追番
2019,原创,高达创形者 再起,40.6万追番
2019,原创,笑容的代价,40.4万追番
2019,原创,BanG Dream! 第二季,31.6万追番
2019,原创,歌塑世界,19.3万追番
2019,原创,B-PROJECT～绝顶＊Emotion～,18.6万追番
2019,原创,高校星歌剧 第三季,11.1万追番
2019,原创,BT21 UNIVERSE动画,10.7万追番
2019,原创,小猪佩奇 第七季,9.6万追番
2019,原创,小猪佩奇 第六季,8.9万追番
2019,原创,CAROLE & TUESDAY,243.1万追番
2019,原创,小马宝莉 友谊的魔力 第九季,96.4万追番
2019,原创,revisions,78.6万追番
2019,原创,ENDRO~!,69.3万追番
